"Date","Time","Open","High","Low","Close","Up","Down","Volume"
04/14/2026,10:20,6934.11,6940.15,6933.72,6939.81,13877,11127,25004.00
04/14/2026,10:25,6940.05,6944.14,6939.42,6943.59,13414,13250,26664.00
04/14/2026,10:30,6943.55,6948.55,6943.53,6946.46,13713,11733,25446.00
04/14/2026,10:35,6946.50,6950.58,6946.34,6949.23,13604,13246,26850.00
04/14/2026,10:40,6949.22,6952.35,6949.20,6951.67,14478,12873,27351.00
04/14/2026,10:45,6951.58,6954.52,6949.73,6952.62,13124,13951,27075.00
04/14/2026,10:50,6952.60,6955.51,6952.56,6954.13,15693,11407,27100.00
04/14/2026,10:55,6954.00,6957.49,6953.94,6957.25,12416,9378,21794.00
04/14/2026,11:00,6956.85,6956.85,6952.70,6952.95,8903,10368,19271.00
04/14/2026,11:05,6953.02,6956.17,6952.28,6955.55,12007,9026,21033.00
04/14/2026,11:10,6955.52,6956.13,6953.73,6954.97,10697,9618,20315.00
04/14/2026,11:15,6954.93,6955.94,6953.59,6954.58,8723,8970,17693.00
04/14/2026,11:20,6954.57,6956.74,6954.06,6956.74,11074,8049,19123.00
04/14/2026,11:25,6956.73,6959.27,6956.17,6959.11,10668,8644,19312.00
04/14/2026,11:30,6959.24,6961.51,6958.85,6960.30,8659,9317,17976.00
04/14/2026,11:35,6960.32,6961.72,6957.38,6957.51,10189,10107,20296.00
04/14/2026,11:40,6957.61,6959.03,6956.43,6958.45,11228,10374,21602.00
04/14/2026,11:45,6958.47,6959.79,6957.67,6959.24,10157,10126,20283.00
04/14/2026,11:50,6959.41,6960.86,6958.63,6960.71,11466,9728,21194.00
04/14/2026,11:55,6960.73,6961.06,6955.71,6955.90,9153,11343,20496.00
04/14/2026,12:00,6955.85,6956.16,6952.33,6953.62,8721,10466,19187.00
04/14/2026,12:05,6953.59,6957.11,6953.58,6956.06,9650,9138,18788.00
04/14/2026,12:10,6955.99,6957.79,6955.35,6955.79,9248,10053,19301.00
04/14/2026,12:15,6955.84,6957.62,6955.82,6957.15,8784,7548,16332.00
04/14/2026,12:20,6957.13,6961.46,6956.73,6961.36,11049,8310,19359.00
04/14/2026,12:25,6961.44,6964.14,6961.26,6963.38,10611,9540,20151.00
04/14/2026,12:30,6963.42,6963.48,6960.74,6961.48,10143,9421,19564.00
04/14/2026,12:35,6961.48,6964.65,6961.45,6964.45,11660,8108,19768.00
04/14/2026,12:40,6964.40,6964.95,6963.11,6963.87,11265,10421,21686.00
04/14/2026,12:45,6963.95,6965.23,6963.19,6964.76,9153,8640,17793.00
04/14/2026,12:50,6964.73,6964.90,6963.75,6964.24,8747,8118,16865.00
04/14/2026,12:55,6964.28,6964.77,6960.53,6961.45,8463,8838,17301.00
04/14/2026,13:00,6961.23,6961.97,6960.00,6961.50,9817,9524,19341.00
04/14/2026,13:05,6961.45,6963.09,6961.30,6962.34,12660,10442,23102.00
